Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-20,AQS,202090021,1,0.2,ppm,2,JFK,19,79,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-02-20,AQS,202090021,1,0.3,ppm,3,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-03-20,AQS,202090021,1,0.3,ppm,3,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-04-20,AQS,202090021,1,0.3,ppm,3,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-05-20,AQS,202090021,1,0.3,ppm,3,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-06-20,AQS,202090021,1,0.6,ppm,7,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-07-20,AQS,202090021,1,0.4,ppm,5,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-08-20,AQS,202090021,1,0.4,ppm,5,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-09-20,AQS,202090021,1,0.3,ppm,3,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-10-20,AQS,202090021,1,0.3,ppm,3,JFK,24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
