Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/19/2018,AQS,490352005,1,35,ppb,33,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/20/2018,AQS,490352005,1,22,ppb,21,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/21/2018,AQS,490352005,1,27,ppb,25,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/22/2018,AQS,490352005,1,21,ppb,20,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/23/2018,AQS,490352005,1,24,ppb,23,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/24/2018,AQS,490352005,1,28,ppb,26,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/25/2018,AQS,490352005,1,36,ppb,34,Copper View,22,92,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/26/2018,AQS,490352005,1,32,ppb,30,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/27/2018,AQS,490352005,1,28,ppb,26,Copper View,22,92,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/28/2018,AQS,490352005,1,12,ppb,11,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/29/2018,AQS,490352005,1,9,ppb,8,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
4/30/2018,AQS,490352005,1,20,ppb,19,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/1/2018,AQS,490352005,1,25,ppb,24,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/2/2018,AQS,490352005,1,22,ppb,21,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/3/2018,AQS,490352005,1,27,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/4/2018,AQS,490352005,1,31,ppb,29,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/5/2018,AQS,490352005,1,24,ppb,23,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/6/2018,AQS,490352005,1,25,ppb,24,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/7/2018,AQS,490352005,1,32,ppb,30,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/8/2018,AQS,490352005,1,31,ppb,29,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/9/2018,AQS,490352005,1,34,ppb,32,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/10/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/11/2018,AQS,490352005,1,12,ppb,11,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/12/2018,AQS,490352005,1,21,ppb,20,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/13/2018,AQS,490352005,1,21,ppb,20,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/14/2018,AQS,490352005,1,29,ppb,27,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/15/2018,AQS,490352005,1,24,ppb,23,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/16/2018,AQS,490352005,1,22,ppb,21,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/17/2018,AQS,490352005,1,26,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/18/2018,AQS,490352005,1,26,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/19/2018,AQS,490352005,1,23,ppb,22,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/20/2018,AQS,490352005,1,25,ppb,24,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/21/2018,AQS,490352005,1,27,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/22/2018,AQS,490352005,1,30,ppb,28,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/23/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/24/2018,AQS,490352005,1,30,ppb,28,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/25/2018,AQS,490352005,1,25,ppb,24,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/26/2018,AQS,490352005,1,11,ppb,10,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/27/2018,AQS,490352005,1,9,ppb,8,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/28/2018,AQS,490352005,1,18,ppb,17,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/29/2018,AQS,490352005,1,25,ppb,24,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/30/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
5/31/2018,AQS,490352005,1,26,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/1/2018,AQS,490352005,1,22,ppb,21,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/2/2018,AQS,490352005,1,26,ppb,25,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/3/2018,AQS,490352005,1,20,ppb,19,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/4/2018,AQS,490352005,1,25,ppb,24,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/5/2018,AQS,490352005,1,25,ppb,24,Copper View,22,92,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/6/2018,AQS,490352005,1,20,ppb,19,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/7/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/8/2018,AQS,490352005,1,25,ppb,24,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/9/2018,AQS,490352005,1,16,ppb,15,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/10/2018,AQS,490352005,1,12,ppb,11,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/11/2018,AQS,490352005,1,28,ppb,26,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/12/2018,AQS,490352005,1,26,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/13/2018,AQS,490352005,1,25,ppb,24,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/14/2018,AQS,490352005,1,17,ppb,16,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/15/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/16/2018,AQS,490352005,1,16,ppb,15,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/17/2018,AQS,490352005,1,4,ppb,4,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/18/2018,AQS,490352005,1,15,ppb,14,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/19/2018,AQS,490352005,1,29,ppb,27,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/20/2018,AQS,490352005,1,26,ppb,25,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/21/2018,AQS,490352005,1,24,ppb,23,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/22/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/23/2018,AQS,490352005,1,14,ppb,13,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/24/2018,AQS,490352005,1,17,ppb,16,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/25/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/26/2018,AQS,490352005,1,30,ppb,28,Copper View,22,92,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/27/2018,AQS,490352005,1,28,ppb,26,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/28/2018,AQS,490352005,1,11,ppb,10,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/29/2018,AQS,490352005,1,23,ppb,22,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
6/30/2018,AQS,490352005,1,17,ppb,16,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
7/1/2018,AQS,490352005,1,16,ppb,15,Copper View,23,96,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
7/2/2018,AQS,490352005,1,21,ppb,20,Copper View,24,100,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.598056,-111.894167
