Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/31/2022,AQS,40191011,1,34.4,ppb,32,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/1/2022,AQS,40191011,1,39,ppb,37,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/2/2022,AQS,40191011,1,25.2,ppb,24,22ND & CRAYCROFT,23,96,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/3/2022,AQS,40191011,1,28.7,ppb,26,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/4/2022,AQS,40191011,1,26.2,ppb,25,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/5/2022,AQS,40191011,1,35.2,ppb,33,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/6/2022,AQS,40191011,1,27.8,ppb,25,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/7/2022,AQS,40191011,1,8.6,ppb,8,22ND & CRAYCROFT,22,92,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/8/2022,AQS,40191011,1,40,ppb,38,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/9/2022,AQS,40191011,1,35.8,ppb,33,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
2/10/2022,AQS,40191011,1,34.1,ppb,32,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
