Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/26/2021,AQS,510130020,1,28.6,ppb,26,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/27/2021,AQS,510130020,1,15.1,ppb,14,Aurora Hills Visitors Center,20,83,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/28/2021,AQS,510130020,1,6.3,ppb,6,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/29/2021,AQS,510130020,1,6.4,ppb,6,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/30/2021,AQS,510130020,1,40.7,ppb,38,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/31/2021,AQS,510130020,1,15.6,ppb,14,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/1/2021,AQS,510130020,1,13,ppb,12,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/2/2021,AQS,510130020,1,7.1,ppb,7,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/3/2021,AQS,510130020,1,6.9,ppb,6,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/4/2021,AQS,510130020,1,45.5,ppb,42,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/5/2021,AQS,510130020,1,10.7,ppb,9,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/6/2021,AQS,510130020,1,25.5,ppb,24,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/7/2021,AQS,510130020,1,18.9,ppb,17,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/8/2021,AQS,510130020,1,17,ppb,16,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/9/2021,AQS,510130020,1,38.9,ppb,36,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/10/2021,AQS,510130020,1,21.2,ppb,20,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/11/2021,AQS,510130020,1,21.8,ppb,20,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/12/2021,AQS,510130020,1,25.1,ppb,24,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/13/2021,AQS,510130020,1,24.8,ppb,23,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/14/2021,AQS,510130020,1,16,ppb,15,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/15/2021,AQS,510130020,1,20.8,ppb,19,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/16/2021,AQS,510130020,1,19.4,ppb,18,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/17/2021,AQS,510130020,1,16.9,ppb,15,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/18/2021,AQS,510130020,1,18.8,ppb,17,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/19/2021,AQS,510130020,1,16.8,ppb,15,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/20/2021,AQS,510130020,1,5.3,ppb,5,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/21/2021,AQS,510130020,1,17.5,ppb,16,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/22/2021,AQS,510130020,1,33.3,ppb,31,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/23/2021,AQS,510130020,1,36.5,ppb,34,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/24/2021,AQS,510130020,1,37.5,ppb,35,Aurora Hills Visitors Center,22,92,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/25/2021,AQS,510130020,1,39.5,ppb,37,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/26/2021,AQS,510130020,1,37.3,ppb,35,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/27/2021,AQS,510130020,1,29.2,ppb,27,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
2/28/2021,AQS,510130020,1,23.9,ppb,22,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
3/1/2021,AQS,510130020,1,22.9,ppb,21,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
